dataset,source,format,split,label,count
artifacts/datasets/evaluation-pilot-v2.json,1eac0299-06c0-51ad-aba3-176fab08905e,pdf,UNSPECIFIED,campanias_conflictos_militares,0
artifacts/datasets/evaluation-pilot-v2.json,1eac0299-06c0-51ad-aba3-176fab08905e,pdf,UNSPECIFIED,contexto_colonial_antecedentes,0
artifacts/datasets/evaluation-pilot-v2.json,1eac0299-06c0-51ad-aba3-176fab08905e,pdf,UNSPECIFIED,crisis_ideas_emancipadoras,2
artifacts/datasets/evaluation-pilot-v2.json,1eac0299-06c0-51ad-aba3-176fab08905e,pdf,UNSPECIFIED,liderazgos_diplomacia_proyectos,0
artifacts/datasets/evaluation-pilot-v2.json,1eac0299-06c0-51ad-aba3-176fab08905e,pdf,UNSPECIFIED,no_relevante,1
artifacts/datasets/evaluation-pilot-v2.json,1eac0299-06c0-51ad-aba3-176fab08905e,pdf,UNSPECIFIED,organizacion_consecuencias_republicanas,0
artifacts/datasets/evaluation-pilot-v2.json,1eac0299-06c0-51ad-aba3-176fab08905e,pdf,UNSPECIFIED,participacion_social_regional,3
artifacts/datasets/evaluation-pilot-v2.json,6d0443e1-fcdc-5373-b22a-4ca1914397d4,pdf,UNSPECIFIED,campanias_conflictos_militares,6
artifacts/datasets/evaluation-pilot-v2.json,6d0443e1-fcdc-5373-b22a-4ca1914397d4,pdf,UNSPECIFIED,contexto_colonial_antecedentes,0
artifacts/datasets/evaluation-pilot-v2.json,6d0443e1-fcdc-5373-b22a-4ca1914397d4,pdf,UNSPECIFIED,crisis_ideas_emancipadoras,0
artifacts/datasets/evaluation-pilot-v2.json,6d0443e1-fcdc-5373-b22a-4ca1914397d4,pdf,UNSPECIFIED,liderazgos_diplomacia_proyectos,2
artifacts/datasets/evaluation-pilot-v2.json,6d0443e1-fcdc-5373-b22a-4ca1914397d4,pdf,UNSPECIFIED,no_relevante,1
artifacts/datasets/evaluation-pilot-v2.json,6d0443e1-fcdc-5373-b22a-4ca1914397d4,pdf,UNSPECIFIED,organizacion_consecuencias_republicanas,0
artifacts/datasets/evaluation-pilot-v2.json,6d0443e1-fcdc-5373-b22a-4ca1914397d4,pdf,UNSPECIFIED,participacion_social_regional,0
artifacts/datasets/evaluation-pilot-v2.json,e3e1b029-9c72-5e9e-b9e1-33006cdb7e78,pdf,UNSPECIFIED,campanias_conflictos_militares,0
artifacts/datasets/evaluation-pilot-v2.json,e3e1b029-9c72-5e9e-b9e1-33006cdb7e78,pdf,UNSPECIFIED,contexto_colonial_antecedentes,0
artifacts/datasets/evaluation-pilot-v2.json,e3e1b029-9c72-5e9e-b9e1-33006cdb7e78,pdf,UNSPECIFIED,crisis_ideas_emancipadoras,1
artifacts/datasets/evaluation-pilot-v2.json,e3e1b029-9c72-5e9e-b9e1-33006cdb7e78,pdf,UNSPECIFIED,liderazgos_diplomacia_proyectos,0
artifacts/datasets/evaluation-pilot-v2.json,e3e1b029-9c72-5e9e-b9e1-33006cdb7e78,pdf,UNSPECIFIED,no_relevante,1
artifacts/datasets/evaluation-pilot-v2.json,e3e1b029-9c72-5e9e-b9e1-33006cdb7e78,pdf,UNSPECIFIED,organizacion_consecuencias_republicanas,2
artifacts/datasets/evaluation-pilot-v2.json,e3e1b029-9c72-5e9e-b9e1-33006cdb7e78,pdf,UNSPECIFIED,participacion_social_regional,0
artifacts/datasets/evaluation-pilot-v2.json,f012593d-76c3-53ee-8285-4318e201f261,pdf,UNSPECIFIED,campanias_conflictos_militares,0
artifacts/datasets/evaluation-pilot-v2.json,f012593d-76c3-53ee-8285-4318e201f261,pdf,UNSPECIFIED,contexto_colonial_antecedentes,2
artifacts/datasets/evaluation-pilot-v2.json,f012593d-76c3-53ee-8285-4318e201f261,pdf,UNSPECIFIED,crisis_ideas_emancipadoras,0
artifacts/datasets/evaluation-pilot-v2.json,f012593d-76c3-53ee-8285-4318e201f261,pdf,UNSPECIFIED,liderazgos_diplomacia_proyectos,0
artifacts/datasets/evaluation-pilot-v2.json,f012593d-76c3-53ee-8285-4318e201f261,pdf,UNSPECIFIED,no_relevante,1
artifacts/datasets/evaluation-pilot-v2.json,f012593d-76c3-53ee-8285-4318e201f261,pdf,UNSPECIFIED,organizacion_consecuencias_republicanas,0
artifacts/datasets/evaluation-pilot-v2.json,f012593d-76c3-53ee-8285-4318e201f261,pdf,UNSPECIFIED,participacion_social_regional,0
artifacts/datasets/external-development-v1.json,doi:10.3989/revindias.2011.023,pdf,val,campanias_conflictos_militares,2
artifacts/datasets/external-development-v1.json,doi:10.3989/revindias.2011.023,pdf,val,contexto_colonial_antecedentes,0
artifacts/datasets/external-development-v1.json,doi:10.3989/revindias.2011.023,pdf,val,crisis_ideas_emancipadoras,17
artifacts/datasets/external-development-v1.json,doi:10.3989/revindias.2011.023,pdf,val,liderazgos_diplomacia_proyectos,0
artifacts/datasets/external-development-v1.json,doi:10.3989/revindias.2011.023,pdf,val,no_relevante,0
artifacts/datasets/external-development-v1.json,doi:10.3989/revindias.2011.023,pdf,val,organizacion_consecuencias_republicanas,1
artifacts/datasets/external-development-v1.json,doi:10.3989/revindias.2011.023,pdf,val,participacion_social_regional,6
artifacts/datasets/external-development-v1.json,sobrevilla-2021-intermedios,pdf,val,campanias_conflictos_militares,2
artifacts/datasets/external-development-v1.json,sobrevilla-2021-intermedios,pdf,val,contexto_colonial_antecedentes,0
artifacts/datasets/external-development-v1.json,sobrevilla-2021-intermedios,pdf,val,crisis_ideas_emancipadoras,0
artifacts/datasets/external-development-v1.json,sobrevilla-2021-intermedios,pdf,val,liderazgos_diplomacia_proyectos,2
artifacts/datasets/external-development-v1.json,sobrevilla-2021-intermedios,pdf,val,no_relevante,0
artifacts/datasets/external-development-v1.json,sobrevilla-2021-intermedios,pdf,val,organizacion_consecuencias_republicanas,1
artifacts/datasets/external-development-v1.json,sobrevilla-2021-intermedios,pdf,val,participacion_social_regional,0
artifacts/datasets/gold-v1-balanced.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,campanias_conflictos_militares,1
artifacts/datasets/gold-v1-balanced.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,contexto_colonial_antecedentes,6
artifacts/datasets/gold-v1-balanced.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,crisis_ideas_emancipadoras,29
artifacts/datasets/gold-v1-balanced.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,liderazgos_diplomacia_proyectos,21
artifacts/datasets/gold-v1-balanced.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,no_relevante,28
artifacts/datasets/gold-v1-balanced.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,organizacion_consecuencias_republicanas,1
artifacts/datasets/gold-v1-balanced.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,participacion_social_regional,17
artifacts/datasets/gold-v1-balanced.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,train,campanias_conflictos_militares,1
artifacts/datasets/gold-v1-balanced.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,train,contexto_colonial_antecedentes,14
artifacts/datasets/gold-v1-balanced.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,train,crisis_ideas_emancipadoras,22
artifacts/datasets/gold-v1-balanced.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,train,liderazgos_diplomacia_proyectos,1
artifacts/datasets/gold-v1-balanced.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,train,no_relevante,22
artifacts/datasets/gold-v1-balanced.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,train,organizacion_consecuencias_republicanas,2
artifacts/datasets/gold-v1-balanced.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,train,participacion_social_regional,10
artifacts/datasets/gold-v1-balanced.json,4ca9c84a-627b-4027-8216-fdc07c506727,pdf,test,campanias_conflictos_militares,6
artifacts/datasets/gold-v1-balanced.json,4ca9c84a-627b-4027-8216-fdc07c506727,pdf,test,contexto_colonial_antecedentes,0
artifacts/datasets/gold-v1-balanced.json,4ca9c84a-627b-4027-8216-fdc07c506727,pdf,test,crisis_ideas_emancipadoras,6
artifacts/datasets/gold-v1-balanced.json,4ca9c84a-627b-4027-8216-fdc07c506727,pdf,test,liderazgos_diplomacia_proyectos,22
artifacts/datasets/gold-v1-balanced.json,4ca9c84a-627b-4027-8216-fdc07c506727,pdf,test,no_relevante,17
artifacts/datasets/gold-v1-balanced.json,4ca9c84a-627b-4027-8216-fdc07c506727,pdf,test,organizacion_consecuencias_republicanas,12
artifacts/datasets/gold-v1-balanced.json,4ca9c84a-627b-4027-8216-fdc07c506727,pdf,test,participacion_social_regional,2
artifacts/datasets/gold-v1-balanced.json,514f190e-5d01-497a-a6ef-648601cd8bdb,youtube,train,campanias_conflictos_militares,1
artifacts/datasets/gold-v1-balanced.json,514f190e-5d01-497a-a6ef-648601cd8bdb,youtube,train,contexto_colonial_antecedentes,0
artifacts/datasets/gold-v1-balanced.json,514f190e-5d01-497a-a6ef-648601cd8bdb,youtube,train,crisis_ideas_emancipadoras,19
artifacts/datasets/gold-v1-balanced.json,514f190e-5d01-497a-a6ef-648601cd8bdb,youtube,train,liderazgos_diplomacia_proyectos,15
artifacts/datasets/gold-v1-balanced.json,514f190e-5d01-497a-a6ef-648601cd8bdb,youtube,train,no_relevante,28
artifacts/datasets/gold-v1-balanced.json,514f190e-5d01-497a-a6ef-648601cd8bdb,youtube,train,organizacion_consecuencias_republicanas,6
artifacts/datasets/gold-v1-balanced.json,514f190e-5d01-497a-a6ef-648601cd8bdb,youtube,train,participacion_social_regional,3
artifacts/datasets/gold-v1-balanced.json,747ca90f-92fc-4d19-aec4-6dfc34c2917e,pdf,train,campanias_conflictos_militares,71
artifacts/datasets/gold-v1-balanced.json,747ca90f-92fc-4d19-aec4-6dfc34c2917e,pdf,train,contexto_colonial_antecedentes,52
artifacts/datasets/gold-v1-balanced.json,747ca90f-92fc-4d19-aec4-6dfc34c2917e,pdf,train,crisis_ideas_emancipadoras,6
artifacts/datasets/gold-v1-balanced.json,747ca90f-92fc-4d19-aec4-6dfc34c2917e,pdf,train,liderazgos_diplomacia_proyectos,42
artifacts/datasets/gold-v1-balanced.json,747ca90f-92fc-4d19-aec4-6dfc34c2917e,pdf,train,no_relevante,13
artifacts/datasets/gold-v1-balanced.json,747ca90f-92fc-4d19-aec4-6dfc34c2917e,pdf,train,organizacion_consecuencias_republicanas,59
artifacts/datasets/gold-v1-balanced.json,747ca90f-92fc-4d19-aec4-6dfc34c2917e,pdf,train,participacion_social_regional,1
artifacts/datasets/gold-v1-balanced.json,9154f7f7-86c9-4bad-bcba-47eaf54b93e1,pdf,train,campanias_conflictos_militares,0
artifacts/datasets/gold-v1-balanced.json,9154f7f7-86c9-4bad-bcba-47eaf54b93e1,pdf,train,contexto_colonial_antecedentes,0
artifacts/datasets/gold-v1-balanced.json,9154f7f7-86c9-4bad-bcba-47eaf54b93e1,pdf,train,crisis_ideas_emancipadoras,2
artifacts/datasets/gold-v1-balanced.json,9154f7f7-86c9-4bad-bcba-47eaf54b93e1,pdf,train,liderazgos_diplomacia_proyectos,5
artifacts/datasets/gold-v1-balanced.json,9154f7f7-86c9-4bad-bcba-47eaf54b93e1,pdf,train,no_relevante,1
artifacts/datasets/gold-v1-balanced.json,9154f7f7-86c9-4bad-bcba-47eaf54b93e1,pdf,train,organizacion_consecuencias_republicanas,8
artifacts/datasets/gold-v1-balanced.json,9154f7f7-86c9-4bad-bcba-47eaf54b93e1,pdf,train,participacion_social_regional,2
artifacts/datasets/gold-v1-balanced.json,9f60a031-0183-478c-a1f8-a3bdd37d7b0b,pdf,train,campanias_conflictos_militares,0
artifacts/datasets/gold-v1-balanced.json,9f60a031-0183-478c-a1f8-a3bdd37d7b0b,pdf,train,contexto_colonial_antecedentes,0
artifacts/datasets/gold-v1-balanced.json,9f60a031-0183-478c-a1f8-a3bdd37d7b0b,pdf,train,crisis_ideas_emancipadoras,0
artifacts/datasets/gold-v1-balanced.json,9f60a031-0183-478c-a1f8-a3bdd37d7b0b,pdf,train,liderazgos_diplomacia_proyectos,4
artifacts/datasets/gold-v1-balanced.json,9f60a031-0183-478c-a1f8-a3bdd37d7b0b,pdf,train,no_relevante,11
artifacts/datasets/gold-v1-balanced.json,9f60a031-0183-478c-a1f8-a3bdd37d7b0b,pdf,train,organizacion_consecuencias_republicanas,27
artifacts/datasets/gold-v1-balanced.json,9f60a031-0183-478c-a1f8-a3bdd37d7b0b,pdf,train,participacion_social_regional,11
