dataset,index,text_sha256,label,source,format,split,tokens,lost_128,lost_192,lost_256,lost_384,lost_512
artifacts/datasets/evaluation-pilot-v2.json,0,30c0bad1e51b019e1bb363a109abb222396eee6da5ffdabf71bee9fbdc89b08a,contexto_colonial_antecedentes,f012593d-76c3-53ee-8285-4318e201f261,pdf,UNSPECIFIED,214,86,22,0,0,0
artifacts/datasets/evaluation-pilot-v2.json,1,2e327b7bc9232f04439ea1f653f4d745314e48fc0421fc444b0425cc692feee9,contexto_colonial_antecedentes,f012593d-76c3-53ee-8285-4318e201f261,pdf,UNSPECIFIED,204,76,12,0,0,0
artifacts/datasets/evaluation-pilot-v2.json,2,eb73b5a40ef1aa402cf0b62872d0fcbce2c164b2c3219bd944ae386747bed9d2,crisis_ideas_emancipadoras,1eac0299-06c0-51ad-aba3-176fab08905e,pdf,UNSPECIFIED,177,49,0,0,0,0
artifacts/datasets/evaluation-pilot-v2.json,3,2332c33f70370aa256f6f9dca3ca08da16616d10d92450b1fc065dfd64122406,crisis_ideas_emancipadoras,1eac0299-06c0-51ad-aba3-176fab08905e,pdf,UNSPECIFIED,200,72,8,0,0,0
artifacts/datasets/evaluation-pilot-v2.json,4,994b6bfb45b57d897972ff4ea53fd9e378cb7a98f72b59065955ca9e7c71f124,participacion_social_regional,1eac0299-06c0-51ad-aba3-176fab08905e,pdf,UNSPECIFIED,331,203,139,75,0,0
artifacts/datasets/evaluation-pilot-v2.json,5,bceea56d2e2fb1763760a867800600d4144dfe80691b63c9c6b768440f211693,participacion_social_regional,1eac0299-06c0-51ad-aba3-176fab08905e,pdf,UNSPECIFIED,244,116,52,0,0,0
artifacts/datasets/evaluation-pilot-v2.json,6,6e8c2633e693c76a0b1da8139c981ffe9a448f82298d19ab1e09fbe6c70d12a3,participacion_social_regional,1eac0299-06c0-51ad-aba3-176fab08905e,pdf,UNSPECIFIED,252,124,60,0,0,0
artifacts/datasets/evaluation-pilot-v2.json,7,0d7c34a56dac91eb92cde8bebbb9a4734084d7ade97650c82c49c3afd0ea0fd5,crisis_ideas_emancipadoras,e3e1b029-9c72-5e9e-b9e1-33006cdb7e78,pdf,UNSPECIFIED,225,97,33,0,0,0
artifacts/datasets/evaluation-pilot-v2.json,8,e49114d07b3dc7b8488b31240797315c4d31e00ab862a3ad0ceb903737975662,no_relevante,e3e1b029-9c72-5e9e-b9e1-33006cdb7e78,pdf,UNSPECIFIED,222,94,30,0,0,0
artifacts/datasets/evaluation-pilot-v2.json,9,d9a38bc798c8bb4cedfb8241b8fa8f0da744cc61b42412b518a0385e12c02ef0,campanias_conflictos_militares,6d0443e1-fcdc-5373-b22a-4ca1914397d4,pdf,UNSPECIFIED,279,151,87,23,0,0
