model,class,precision,recall,f1,support
R0,campanias_conflictos_militares,0.7959183673469388,0.6190476190476191,0.6964285714285714,63
R0,contexto_colonial_antecedentes,0.18032786885245902,0.4782608695652174,0.2619047619047619,23
R0,crisis_ideas_emancipadoras,0.27918781725888325,0.7333333333333333,0.40441176470588236,75
R0,liderazgos_diplomacia_proyectos,0.32608695652173914,0.46875,0.38461538461538464,32
R0,no_relevante,0.9473684210526315,0.10714285714285714,0.1925133689839572,168
R0,organizacion_consecuencias_republicanas,0.3181818181818182,0.30434782608695654,0.3111111111111111,23
R0,participacion_social_regional,0.42,0.35,0.38181818181818183,60
R1,campanias_conflictos_militares,0.7575757575757576,0.7936507936507936,0.7751937984496124,63
R1,contexto_colonial_antecedentes,0.22448979591836735,0.4782608695652174,0.3055555555555556,23
R1,crisis_ideas_emancipadoras,0.6274509803921569,0.4266666666666667,0.5079365079365079,75
R1,liderazgos_diplomacia_proyectos,0.3333333333333333,0.40625,0.36619718309859156,32
R1,no_relevante,0.8648648648648649,0.7619047619047619,0.810126582278481,168
R1,organizacion_consecuencias_republicanas,0.3055555555555556,0.4782608695652174,0.3728813559322034,23
R1,participacion_social_regional,0.45454545454545453,0.4166666666666667,0.43478260869565216,60
R2,campanias_conflictos_militares,0.746031746031746,0.746031746031746,0.746031746031746,63
R2,contexto_colonial_antecedentes,0.34146341463414637,0.6086956521739131,0.4375,23
R2,crisis_ideas_emancipadoras,0.7368421052631579,0.37333333333333335,0.49557522123893805,75
R2,liderazgos_diplomacia_proyectos,0.3333333333333333,0.46875,0.38961038961038963,32
R2,no_relevante,0.8220858895705522,0.7976190476190477,0.8096676737160121,168
R2,organizacion_consecuencias_republicanas,0.3392857142857143,0.8260869565217391,0.4810126582278481,23
R2,participacion_social_regional,0.47368421052631576,0.3,0.3673469387755102,60
R3,campanias_conflictos_militares,0.7936507936507936,0.7936507936507936,0.7936507936507936,63
R3,contexto_colonial_antecedentes,0.26666666666666666,0.5217391304347826,0.35294117647058826,23
R3,crisis_ideas_emancipadoras,0.8,0.32,0.45714285714285713,75
R3,liderazgos_diplomacia_proyectos,0.358974358974359,0.4375,0.39436619718309857,32
R3,no_relevante,0.8609271523178808,0.7738095238095238,0.8150470219435737,168
R3,organizacion_consecuencias_republicanas,0.2786885245901639,0.7391304347826086,0.40476190476190477,23
R3,participacion_social_regional,0.43636363636363634,0.4,0.41739130434782606,60
TF-IDF H,campanias_conflictos_militares,0.6545454545454545,0.5714285714285714,0.6101694915254238,63
TF-IDF H,contexto_colonial_antecedentes,0.2,0.30434782608695654,0.2413793103448276,23
TF-IDF H,crisis_ideas_emancipadoras,0.6521739130434783,0.2,0.30612244897959184,75
TF-IDF H,liderazgos_diplomacia_proyectos,0.1301775147928994,0.6875,0.21890547263681592,32
TF-IDF H,no_relevante,1.0,0.05357142857142857,0.1016949152542373,168
TF-IDF H,organizacion_consecuencias_republicanas,0.14736842105263157,0.6086956521739131,0.23728813559322035,23
TF-IDF H,participacion_social_regional,0.2413793103448276,0.23333333333333334,0.23728813559322035,60
Mayoría H,campanias_conflictos_militares,0.0,0.0,0.0,63
Mayoría H,contexto_colonial_antecedentes,0.0,0.0,0.0,23
Mayoría H,crisis_ideas_emancipadoras,0.0,0.0,0.0,75
Mayoría H,liderazgos_diplomacia_proyectos,0.0,0.0,0.0,32
Mayoría H,no_relevante,0.0,0.0,0.0,168
Mayoría H,organizacion_consecuencias_republicanas,0.0518018018018018,1.0,0.09850107066381156,23
Mayoría H,participacion_social_regional,0.0,0.0,0.0,60
TF-IDF H-T300,campanias_conflictos_militares,0.7169811320754716,0.6031746031746031,0.6551724137931034,63
TF-IDF H-T300,contexto_colonial_antecedentes,0.35,0.30434782608695654,0.32558139534883723,23
TF-IDF H-T300,crisis_ideas_emancipadoras,0.7333333333333333,0.29333333333333333,0.41904761904761906,75
TF-IDF H-T300,liderazgos_diplomacia_proyectos,0.38235294117647056,0.40625,0.3939393939393939,32
TF-IDF H-T300,no_relevante,0.6244725738396625,0.8809523809523809,0.7308641975308642,168
TF-IDF H-T300,organizacion_consecuencias_republicanas,0.2692307692307692,0.30434782608695654,0.2857142857142857,23
TF-IDF H-T300,participacion_social_regional,0.4772727272727273,0.35,0.40384615384615385,60
Mayoría H-T300,campanias_conflictos_militares,0.0,0.0,0.0,63
Mayoría H-T300,contexto_colonial_antecedentes,0.0,0.0,0.0,23
Mayoría H-T300,crisis_ideas_emancipadoras,0.0,0.0,0.0,75
Mayoría H-T300,liderazgos_diplomacia_proyectos,0.0,0.0,0.0,32
Mayoría H-T300,no_relevante,0.3783783783783784,1.0,0.5490196078431373,168
Mayoría H-T300,organizacion_consecuencias_republicanas,0.0,0.0,0.0,23
Mayoría H-T300,participacion_social_regional,0.0,0.0,0.0,60
