work,partition,class,accepted,pending_by_proposal
0Dgk3uh0ziE,T,campanias_conflictos_militares,0,0
0Dgk3uh0ziE,T,contexto_colonial_antecedentes,0,0
0Dgk3uh0ziE,T,crisis_ideas_emancipadoras,0,1
0Dgk3uh0ziE,T,liderazgos_diplomacia_proyectos,1,0
0Dgk3uh0ziE,T,no_relevante,16,0
0Dgk3uh0ziE,T,organizacion_consecuencias_republicanas,3,2
0Dgk3uh0ziE,T,participacion_social_regional,10,1
HuT0aI_mDqM,T,campanias_conflictos_militares,0,0
HuT0aI_mDqM,T,contexto_colonial_antecedentes,0,0
HuT0aI_mDqM,T,crisis_ideas_emancipadoras,1,0
HuT0aI_mDqM,T,liderazgos_diplomacia_proyectos,0,0
HuT0aI_mDqM,T,no_relevante,2,0
HuT0aI_mDqM,T,organizacion_consecuencias_republicanas,1,0
HuT0aI_mDqM,T,participacion_social_regional,2,0
N03,auxiliary,campanias_conflictos_militares,7,0
N03,auxiliary,contexto_colonial_antecedentes,0,0
N03,auxiliary,crisis_ideas_emancipadoras,3,0
N03,auxiliary,liderazgos_diplomacia_proyectos,1,0
N03,auxiliary,no_relevante,1,1
N03,auxiliary,organizacion_consecuencias_republicanas,0,0
N03,auxiliary,participacion_social_regional,2,0
N07,V,campanias_conflictos_militares,0,0
N07,V,contexto_colonial_antecedentes,9,3
N07,V,crisis_ideas_emancipadoras,8,0
N07,V,liderazgos_diplomacia_proyectos,6,0
N07,V,no_relevante,26,2
N07,V,organizacion_consecuencias_republicanas,2,0
N07,V,participacion_social_regional,11,6
N08,T,campanias_conflictos_militares,5,1
N08,T,contexto_colonial_antecedentes,0,0
N08,T,crisis_ideas_emancipadoras,0,0
N08,T,liderazgos_diplomacia_proyectos,5,2
N08,T,no_relevante,0,0
N08,T,organizacion_consecuencias_republicanas,0,0
N08,T,participacion_social_regional,5,1
bVrm2pJw4SA,T,campanias_conflictos_militares,13,1
bVrm2pJw4SA,T,contexto_colonial_antecedentes,1,0
bVrm2pJw4SA,T,crisis_ideas_emancipadoras,6,0
bVrm2pJw4SA,T,liderazgos_diplomacia_proyectos,5,0
bVrm2pJw4SA,T,no_relevante,6,0
bVrm2pJw4SA,T,organizacion_consecuencias_republicanas,3,0
bVrm2pJw4SA,T,participacion_social_regional,4,0
lrV0mu1iZCI,T,campanias_conflictos_militares,0,0
lrV0mu1iZCI,T,contexto_colonial_antecedentes,0,0
lrV0mu1iZCI,T,crisis_ideas_emancipadoras,0,1
lrV0mu1iZCI,T,liderazgos_diplomacia_proyectos,0,0
lrV0mu1iZCI,T,no_relevante,3,0
lrV0mu1iZCI,T,organizacion_consecuencias_republicanas,0,0
lrV0mu1iZCI,T,participacion_social_regional,1,1
rKbC4guGhRY,V,campanias_conflictos_militares,0,0
rKbC4guGhRY,V,contexto_colonial_antecedentes,0,0
rKbC4guGhRY,V,crisis_ideas_emancipadoras,5,1
rKbC4guGhRY,V,liderazgos_diplomacia_proyectos,2,0
rKbC4guGhRY,V,no_relevante,18,1
rKbC4guGhRY,V,organizacion_consecuencias_republicanas,6,1
rKbC4guGhRY,V,participacion_social_regional,6,0
