work,partition,duration_seconds,units,accepted,pending,resolvable_reference_fraction
0Dgk3uh0ziE,T,2519,34,30,4,0.8823529411764706
G01,V,5025,67,61,6,0.9104477611940298
G02,V,9888,132,125,7,0.946969696969697
G03,T,3855,52,51,1,0.9807692307692307
HuT0aI_mDqM,T,370,6,6,0,1.0
N03,auxiliary,1080.744,15,14,1,0.9333333333333333
N07,V,5637.1315,76,62,14,0.8157894736842105
N08,T,1399.2,19,15,4,0.7894736842105263
bVrm2pJw4SA,T,2907,39,38,1,0.9743589743589743
lrV0mu1iZCI,T,390,6,4,2,0.6666666666666666
rKbC4guGhRY,V,2878,40,37,3,0.925
