work,partition,duration_seconds,units,accepted,pending,resolvable_reference_fraction
0Dgk3uh0ziE,T,2519,34,30,4,0.8823529411764706
G01,V,5025,67,61,6,0.9104477611940298
G02,V,9888,132,125,7,0.946969696969697
G03,T,3855,52,51,1,0.9807692307692307
G07,T,4690,30,24,6,0.8
G08,T,3061,30,30,0,1.0
G09,V,5685,76,76,0,1.0
G10,T,2236,30,30,0,1.0
G11,T,5812,30,30,0,1.0
G12,T,3059,30,30,0,1.0
G13,T,6365,30,29,1,0.9666666666666667
G14,V,5035,68,60,8,0.8823529411764706
G15,T,4508,30,30,0,1.0
G16,T,5840,30,29,1,0.9666666666666667
G17,T,5490,30,29,1,0.9666666666666667
G18,T,5170,30,21,9,0.7
HuT0aI_mDqM,T,370,6,6,0,1.0
N03,auxiliary,1080.744,15,14,1,0.9333333333333333
N07,V,5637.1315,76,62,14,0.8157894736842105
N08,T,1399.2,19,15,4,0.7894736842105263
bVrm2pJw4SA,T,2907,39,38,1,0.9743589743589743
lrV0mu1iZCI,T,390,6,4,2,0.6666666666666666
rKbC4guGhRY,V,2878,40,37,3,0.925
