recipe,seed,family,n,f1_macro_seven_classes,accuracy
R0,42,candidate-N07,62,0.2934787708186723,0.3548387096774194
R0,42,video--Ma1tt97eFg,11,0.11764705882352941,0.6363636363636364
R0,42,video-4eTSESrqcLg,76,0.21534831323833878,0.39473684210526316
R0,42,video-AhRbsKHsYac,60,0.3160430839002268,0.5166666666666667
R0,42,video-KHcAIKD38sI,12,0.07792207792207792,0.25
R0,42,video-Z0PTwkh7g98,125,0.27753064728988536,0.296
R0,42,video-ppkyuQewxHc,61,0.1827731092436975,0.4262295081967213
R0,42,video-rKbC4guGhRY,37,0.19655977550714393,0.2702702702702703
R2,42,candidate-N07,62,0.4910044017607042,0.6612903225806451
R2,42,video--Ma1tt97eFg,11,0.10084033613445378,0.5454545454545454
R2,42,video-4eTSESrqcLg,76,0.34554802158017356,0.47368421052631576
R2,42,video-AhRbsKHsYac,60,0.3668529746115953,0.55
R2,42,video-KHcAIKD38sI,12,0.08051948051948053,0.25
R2,42,video-Z0PTwkh7g98,125,0.5463507856365,0.664
R2,42,video-ppkyuQewxHc,61,0.30057425567629653,0.7868852459016393
R2,42,video-rKbC4guGhRY,37,0.3989441930618401,0.6756756756756757
R0,43,candidate-N07,62,0.38166928237212644,0.4838709677419355
R0,43,video--Ma1tt97eFg,11,0.11764705882352941,0.6363636363636364
R0,43,video-4eTSESrqcLg,76,0.27568271327669824,0.4473684210526316
R0,43,video-AhRbsKHsYac,60,0.38994987468671677,0.5833333333333334
R0,43,video-KHcAIKD38sI,12,0.07142857142857142,0.25
R0,43,video-Z0PTwkh7g98,125,0.3300007732617968,0.392
R0,43,video-ppkyuQewxHc,61,0.24348739495798322,0.5737704918032787
R0,43,video-rKbC4guGhRY,37,0.2047723704866562,0.2972972972972973
R2,43,candidate-N07,62,0.44123699829582186,0.6290322580645161
R2,43,video--Ma1tt97eFg,11,0.11111111111111112,0.6363636363636364
R2,43,video-4eTSESrqcLg,76,0.29937457153404,0.5131578947368421
R2,43,video-AhRbsKHsYac,60,0.2916714212566747,0.45
R2,43,video-KHcAIKD38sI,12,0.07142857142857142,0.25
R2,43,video-Z0PTwkh7g98,125,0.5207494830575491,0.656
R2,43,video-ppkyuQewxHc,61,0.31937450304797244,0.819672131147541
R2,43,video-rKbC4guGhRY,37,0.4345238095238095,0.7027027027027027
R0,44,candidate-N07,62,0.31106361463504323,0.3709677419354839
R0,44,video--Ma1tt97eFg,11,0.10714285714285714,0.5454545454545454
R0,44,video-4eTSESrqcLg,76,0.27711528507065736,0.40789473684210525
R0,44,video-AhRbsKHsYac,60,0.37885366912722535,0.5833333333333334
R0,44,video-KHcAIKD38sI,12,0.09523809523809523,0.25
R0,44,video-Z0PTwkh7g98,125,0.39643352224201545,0.472
R0,44,video-ppkyuQewxHc,61,0.3063637354255203,0.6721311475409836
R0,44,video-rKbC4guGhRY,37,0.23074316987360466,0.35135135135135137
R2,44,candidate-N07,62,0.4267206882753102,0.5806451612903226
R2,44,video--Ma1tt97eFg,11,0.10084033613445378,0.5454545454545454
R2,44,video-4eTSESrqcLg,76,0.3002801120448179,0.4605263157894737
R2,44,video-AhRbsKHsYac,60,0.3815307499518026,0.55
R2,44,video-KHcAIKD38sI,12,0.08946608946608947,0.25
R2,44,video-Z0PTwkh7g98,125,0.5770612754385575,0.68
R2,44,video-ppkyuQewxHc,61,0.3085164835164835,0.7704918032786885
R2,44,video-rKbC4guGhRY,37,0.4366522366522366,0.7297297297297297
